Name,Value,Start,Size,Type,Color,Comment
Type,FMDL_FEATURE_TYPE_MATERIAL_INSTANCE_HEADERS (4),60h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,61h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,16,62h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,7456,64h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[5],,68h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_BONE_GROUPS (5),68h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,69h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,8,6Ah,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,7712,6Ch,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[6],,70h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_TEXTURE_REFS (6),70h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,71h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,38,72h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,8256,74h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[7],,78h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_MATERIAL_PARAMS (7),78h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,79h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,154,7Ah,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,8408,7Ch,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[8],,80h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_SHADER_PLATFORM_ALIASES (8),80h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,81h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,7,82h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,9024,84h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[9],,88h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_MESH_DATA_LAYOUT_DESCS (9),88h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,89h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,26,8Ah,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,9052,8Ch,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[10],,90h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_MESH_BUFFER_HEADERS (10),90h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,91h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,91,92h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,9260,94h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[11],,98h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_MESH_BUFFER_FORMAT_ELEMENTS (11),98h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,99h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,169,9Ah,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,9988,9Ch,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[12],,A0h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_AABBS (13),A0h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,A1h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,127,A2h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,10672,A4h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[13],,A8h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_FILE_MESH_BUFFER_HEADERS (14),A8h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,A9h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,3,AAh,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,14736,ACh,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[14],,B0h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_LOD_INFO (16),B0h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,B1h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,1,B2h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,14784,B4h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[15],,B8h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_IBUFFER_SLICES (17),B8h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,B9h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,208,BAh,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,14800,BCh,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[16],,C0h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_UNK_18 (18),C0h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,C1h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,1,C2h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,16464,C4h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[17],,C8h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_UNK_20 (20),C8h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,C9h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,1,CAh,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,16472,CCh,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[18],,D0h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_PATH_HASHES (21),D0h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,D1h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,38,D2h,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,16600,D4h,4h,uint,Fg: Bg:0x3E714F,
FeatureHeaders[19],,D8h,8h,struct FeatureHeader,Fg: Bg:0x3E714F,
Type,FMDL_FEATURE_TYPE_NAME_HASHES (22),D8h,1h,enum FMDL_FEATURE_TYPE,Fg: Bg:0x3E714F,
CountOverflow,0,D9h,1h,ubyte,Fg: Bg:0x3E714F,
EntryCount,220,DAh,2h,ushort,Fg: Bg:0x3E714F,
DataOffset,16904,DCh,4h,uint,Fg: Bg:0x3E714F,
BufferHeaders[2],,E0h,18h,struct BufferHeader,Fg: Bg:0x00557F,
BufferHeaders[0],,E0h,Ch,struct BufferHeader,Fg: Bg:0x00557F,
Type,FMDL_BUFFER_TYPE_MATERIAL_PARAMS (0),E0h,4h,enum FMDL_BUFFER_TYPE,Fg: Bg:0x00557F,
DataOffset,0,E4h,4h,uint,Fg: Bg:0x00557F,
DataSize,416,E8h,4h,uint,Fg: Bg:0x00557F,
BufferHeaders[1],,ECh,Ch,struct BufferHeader,Fg: Bg:0x00557F,
Type,FMDL_BUFFER_TYPE_VERTICES (2),ECh,4h,enum FMDL_BUFFER_TYPE,Fg: Bg:0x00557F,
DataOffset,416,F0h,4h,uint,Fg: Bg:0x00557F,
DataSize,651040,F4h,4h,uint,Fg: Bg:0x00557F,
BoneDefs[127],,100h,17D0h,struct FmdlBoneDef,Fg: Bg:0x576974,
BoneDefs[0],,100h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,1,100h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,-1,102h,2h,short,Fg: Bg:0x576974,
AABBIndex,3,104h,2h,ushort,Fg: Bg:0x576974,
Flags,,106h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,106h,2h,ushort,Fg: Bg:0x576974,
B : 1,,106h,2h,ushort,Fg: Bg:0x576974,
C : 1,,106h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, 0, 0, 1)",110h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,110h,4h,float,Fg: Bg:0x576974,
y,0,114h,4h,float,Fg: Bg:0x576974,
z,0,118h,4h,float,Fg: Bg:0x576974,
w,1,11Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0, 0, 1)",120h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,120h,4h,float,Fg: Bg:0x576974,
y,0,124h,4h,float,Fg: Bg:0x576974,
z,0,128h,4h,float,Fg: Bg:0x576974,
w,1,12Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[1],,130h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,2,130h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,0,132h,2h,short,Fg: Bg:0x576974,
AABBIndex,4,134h,2h,ushort,Fg: Bg:0x576974,
Flags,,136h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,136h,2h,ushort,Fg: Bg:0x576974,
B : 1,,136h,2h,ushort,Fg: Bg:0x576974,
C : 1,,136h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, 0.00299997, 0, 1)",140h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,140h,4h,float,Fg: Bg:0x576974,
y,0.002999973,144h,4h,float,Fg: Bg:0x576974,
z,0,148h,4h,float,Fg: Bg:0x576974,
w,1,14Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.00299997, 0, 1)",150h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,150h,4h,float,Fg: Bg:0x576974,
y,0.002999973,154h,4h,float,Fg: Bg:0x576974,
z,0,158h,4h,float,Fg: Bg:0x576974,
w,1,15Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[2],,160h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,3,160h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,1,162h,2h,short,Fg: Bg:0x576974,
AABBIndex,5,164h,2h,ushort,Fg: Bg:0x576974,
Flags,,166h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,166h,2h,ushort,Fg: Bg:0x576974,
B : 1,,166h,2h,ushort,Fg: Bg:0x576974,
C : 1,,166h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, 0.135, 0, 1)",170h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,170h,4h,float,Fg: Bg:0x576974,
y,0.135,174h,4h,float,Fg: Bg:0x576974,
z,0,178h,4h,float,Fg: Bg:0x576974,
w,1,17Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.138, 0, 1)",180h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,180h,4h,float,Fg: Bg:0x576974,
y,0.138,184h,4h,float,Fg: Bg:0x576974,
z,0,188h,4h,float,Fg: Bg:0x576974,
w,1,18Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[3],,190h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,4,190h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,2,192h,2h,short,Fg: Bg:0x576974,
AABBIndex,6,194h,2h,ushort,Fg: Bg:0x576974,
Flags,,196h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,196h,2h,ushort,Fg: Bg:0x576974,
B : 1,,196h,2h,ushort,Fg: Bg:0x576974,
C : 1,,196h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, 0.278, 0, 1)",1A0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,1A0h,4h,float,Fg: Bg:0x576974,
y,0.278,1A4h,4h,float,Fg: Bg:0x576974,
z,0,1A8h,4h,float,Fg: Bg:0x576974,
w,1,1ACh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.416, 0, 1)",1B0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,1B0h,4h,float,Fg: Bg:0x576974,
y,0.416,1B4h,4h,float,Fg: Bg:0x576974,
z,0,1B8h,4h,float,Fg: Bg:0x576974,
w,1,1BCh,4h,float,Fg: Bg:0x576974,
BoneDefs[4],,1C0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,5,1C0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,3,1C2h,2h,short,Fg: Bg:0x576974,
AABBIndex,7,1C4h,2h,ushort,Fg: Bg:0x576974,
Flags,,1C6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,1C6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,1C6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,1C6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0, 0.063, -0.013, 1)",1D0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,1D0h,4h,float,Fg: Bg:0x576974,
y,0.06300002,1D4h,4h,float,Fg: Bg:0x576974,
z,-0.013,1D8h,4h,float,Fg: Bg:0x576974,
w,1,1DCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0, 0.479, -0.013, 1)",1E0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0,1E0h,4h,float,Fg: Bg:0x576974,
y,0.479,1E4h,4h,float,Fg: Bg:0x576974,
z,-0.013,1E8h,4h,float,Fg: Bg:0x576974,
w,1,1ECh,4h,float,Fg: Bg:0x576974,
BoneDefs[5],,1F0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,6,1F0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,2,1F2h,2h,short,Fg: Bg:0x576974,
AABBIndex,8,1F4h,2h,ushort,Fg: Bg:0x576974,
Flags,,1F6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,1F6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,1F6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,1F6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.024, 0.218, 0.032, 1)",200h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.024,200h,4h,float,Fg: Bg:0x576974,
y,0.218,204h,4h,float,Fg: Bg:0x576974,
z,0.032,208h,4h,float,Fg: Bg:0x576974,
w,1,20Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.024, 0.356, 0.032, 1)",210h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.024,210h,4h,float,Fg: Bg:0x576974,
y,0.356,214h,4h,float,Fg: Bg:0x576974,
z,0.032,218h,4h,float,Fg: Bg:0x576974,
w,1,21Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[6],,220h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,7,220h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,5,222h,2h,short,Fg: Bg:0x576974,
AABBIndex,9,224h,2h,ushort,Fg: Bg:0x576974,
Flags,,226h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,226h,2h,ushort,Fg: Bg:0x576974,
B : 1,,226h,2h,ushort,Fg: Bg:0x576974,
C : 1,,226h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.109, 0.00299997, -0.06, 1)",230h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.109,230h,4h,float,Fg: Bg:0x576974,
y,0.002999973,234h,4h,float,Fg: Bg:0x576974,
z,-0.06,238h,4h,float,Fg: Bg:0x576974,
w,1,23Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.133, 0.359, -0.028, 1)",240h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.133,240h,4h,float,Fg: Bg:0x576974,
y,0.359,244h,4h,float,Fg: Bg:0x576974,
z,-0.028,248h,4h,float,Fg: Bg:0x576974,
w,1,24Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[7],,250h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,8,250h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,6,252h,2h,short,Fg: Bg:0x576974,
AABBIndex,10,254h,2h,ushort,Fg: Bg:0x576974,
Flags,,256h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,256h,2h,ushort,Fg: Bg:0x576974,
B : 1,,256h,2h,ushort,Fg: Bg:0x576974,
C : 1,,256h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.233, 0, 0, 1)",260h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.233,260h,4h,float,Fg: Bg:0x576974,
y,0,264h,4h,float,Fg: Bg:0x576974,
z,0,268h,4h,float,Fg: Bg:0x576974,
w,1,26Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.366, 0.359, -0.028, 1)",270h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.366,270h,4h,float,Fg: Bg:0x576974,
y,0.359,274h,4h,float,Fg: Bg:0x576974,
z,-0.028,278h,4h,float,Fg: Bg:0x576974,
w,1,27Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[8],,280h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,9,280h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,7,282h,2h,short,Fg: Bg:0x576974,
AABBIndex,11,284h,2h,ushort,Fg: Bg:0x576974,
Flags,,286h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,286h,2h,ushort,Fg: Bg:0x576974,
B : 1,,286h,2h,ushort,Fg: Bg:0x576974,
C : 1,,286h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.247, 0, 0, 1)",290h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.247,290h,4h,float,Fg: Bg:0x576974,
y,0,294h,4h,float,Fg: Bg:0x576974,
z,0,298h,4h,float,Fg: Bg:0x576974,
w,1,29Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(0.613, 0.359, -0.028, 1)",2A0h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.613,2A0h,4h,float,Fg: Bg:0x576974,
y,0.359,2A4h,4h,float,Fg: Bg:0x576974,
z,-0.028,2A8h,4h,float,Fg: Bg:0x576974,
w,1,2ACh,4h,float,Fg: Bg:0x576974,
BoneDefs[9],,2B0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,10,2B0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,2,2B2h,2h,short,Fg: Bg:0x576974,
AABBIndex,12,2B4h,2h,ushort,Fg: Bg:0x576974,
Flags,,2B6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,2B6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,2B6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,2B6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.024, 0.218, 0.032, 1)",2C0h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.024,2C0h,4h,float,Fg: Bg:0x576974,
y,0.218,2C4h,4h,float,Fg: Bg:0x576974,
z,0.032,2C8h,4h,float,Fg: Bg:0x576974,
w,1,2CCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.024, 0.356, 0.032, 1)",2D0h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.024,2D0h,4h,float,Fg: Bg:0x576974,
y,0.356,2D4h,4h,float,Fg: Bg:0x576974,
z,0.032,2D8h,4h,float,Fg: Bg:0x576974,
w,1,2DCh,4h,float,Fg: Bg:0x576974,
BoneDefs[10],,2E0h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,11,2E0h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,9,2E2h,2h,short,Fg: Bg:0x576974,
AABBIndex,13,2E4h,2h,ushort,Fg: Bg:0x576974,
Flags,,2E6h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,2E6h,2h,ushort,Fg: Bg:0x576974,
B : 1,,2E6h,2h,ushort,Fg: Bg:0x576974,
C : 1,,2E6h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.109, 0.00299997, -0.06, 1)",2F0h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.109,2F0h,4h,float,Fg: Bg:0x576974,
y,0.002999973,2F4h,4h,float,Fg: Bg:0x576974,
z,-0.06,2F8h,4h,float,Fg: Bg:0x576974,
w,1,2FCh,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.133, 0.359, -0.028, 1)",300h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.133,300h,4h,float,Fg: Bg:0x576974,
y,0.359,304h,4h,float,Fg: Bg:0x576974,
z,-0.028,308h,4h,float,Fg: Bg:0x576974,
w,1,30Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[11],,310h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,12,310h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,10,312h,2h,short,Fg: Bg:0x576974,
AABBIndex,14,314h,2h,ushort,Fg: Bg:0x576974,
Flags,,316h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,316h,2h,ushort,Fg: Bg:0x576974,
B : 1,,316h,2h,ushort,Fg: Bg:0x576974,
C : 1,,316h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.233, 0, 0, 1)",320h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.233,320h,4h,float,Fg: Bg:0x576974,
y,0,324h,4h,float,Fg: Bg:0x576974,
z,0,328h,4h,float,Fg: Bg:0x576974,
w,1,32Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.366, 0.359, -0.028, 1)",330h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.366,330h,4h,float,Fg: Bg:0x576974,
y,0.359,334h,4h,float,Fg: Bg:0x576974,
z,-0.028,338h,4h,float,Fg: Bg:0x576974,
w,1,33Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[12],,340h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,13,340h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,11,342h,2h,short,Fg: Bg:0x576974,
AABBIndex,15,344h,2h,ushort,Fg: Bg:0x576974,
Flags,,346h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,346h,2h,ushort,Fg: Bg:0x576974,
B : 1,,346h,2h,ushort,Fg: Bg:0x576974,
C : 1,,346h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(-0.247, 0, 0, 1)",350h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.247,350h,4h,float,Fg: Bg:0x576974,
y,0,354h,4h,float,Fg: Bg:0x576974,
z,0,358h,4h,float,Fg: Bg:0x576974,
w,1,35Ch,4h,float,Fg: Bg:0x576974,
WorldPosition,"(-0.613, 0.359, -0.028, 1)",360h,10h,struct Vector4,Fg: Bg:0x576974,
x,-0.613,360h,4h,float,Fg: Bg:0x576974,
y,0.359,364h,4h,float,Fg: Bg:0x576974,
z,-0.028,368h,4h,float,Fg: Bg:0x576974,
w,1,36Ch,4h,float,Fg: Bg:0x576974,
BoneDefs[13],,370h,30h,struct FmdlBoneDef,Fg: Bg:0x576974,
NameIndex,14,370h,2h,_NameIndex,Fg: Bg:0x576974,
ParentIndex,0,372h,2h,short,Fg: Bg:0x576974,
AABBIndex,16,374h,2h,ushort,Fg: Bg:0x576974,
Flags,,376h,2h,struct FMDL_BONE_FLAGS,Fg: Bg:0x576974,
HasBoundingBox : 1,,376h,2h,ushort,Fg: Bg:0x576974,
B : 1,,376h,2h,ushort,Fg: Bg:0x576974,
C : 1,,376h,2h,ushort,Fg: Bg:0x576974,
LocalPosition,"(0.086, -0.082, 0.024, 1)",380h,10h,struct Vector4,Fg: Bg:0x576974,
x,0.086,380h,4h,float,Fg: Bg:0x576974,
